,PARTY_ID,TYPE,SEATS_TOTAL,GROUP_ID,UPDATE_STATUS,UPDATE_TIME
0,AT01,PARTY,5,EPP,PROVISIONAL,2024-06-09 23:25
1,AT02,PARTY,5,SD,PROVISIONAL,2024-06-09 23:25
2,AT03,PARTY,6,ID,PROVISIONAL,2024-06-09 23:25
3,AT04,PARTY,2,GREENSEFA,PROVISIONAL,2024-06-09 23:25
4,AT05,PARTY,2,Renew,PROVISIONAL,2024-06-09 23:25
5,BE01,PARTY,3,ECR,PROVISIONAL,2024-06-10 00:17
6,BE02,PARTY,3,ID,PROVISIONAL,2024-06-10 00:17
7,BE03,PARTY,1,Renew,PROVISIONAL,2024-06-10 00:17
8,BE04,PARTY,2,EPP,PROVISIONAL,2024-06-10 00:17
9,BE05,PARTY,1,GREENSEFA,PROVISIONAL,2024-06-10 00:17
10,BE06,PARTY,2,SD,PROVISIONAL,2024-06-10 00:17
11,BE07,PARTY,1,Theleft,PROVISIONAL,2024-06-10 00:17
12,BE08,PARTY,2,SD,PROVISIONAL,2024-06-10 00:17
13,BE09,PARTY,1,GREENSEFA,PROVISIONAL,2024-06-10 00:17
14,BE10,PARTY,3,Renew,PROVISIONAL,2024-06-10 00:17
15,BE11,PARTY,1,EPP,PROVISIONAL,2024-06-10 00:17
16,BE13,PARTY,1,Theleft,PROVISIONAL,2024-06-10 00:17
17,BE14,PARTY,1,EPP,PROVISIONAL,2024-06-10 00:17
18,BG01,PARTY,5,EPP,PROVISIONAL,2024-06-10 10:30
19,BG02,PARTY,2,SD,PROVISIONAL,2024-06-10 10:30
20,BG03,PARTY,3,Renew,PROVISIONAL,2024-06-10 10:30
21,BG04,PARTY,1,EPP,PROVISIONAL,2024-06-10 10:30
22,BG04,PARTY,2,Renew,PROVISIONAL,2024-06-10 10:30
23,BG05,PARTY,3,Others,PROVISIONAL,2024-06-10 10:30
24,BG06,PARTY,1,Others,PROVISIONAL,2024-06-10 10:30
25,CY01,PARTY,2,EPP,PROVISIONAL,2024-06-10 01:07
26,CY02,PARTY,1,Theleft,PROVISIONAL,2024-06-10 01:07
27,CY03,PARTY,1,SD,PROVISIONAL,2024-06-10 01:07
28,CY05,PARTY,1,Others,PROVISIONAL,2024-06-10 01:07
29,CY10,PARTY,1,Others,PROVISIONAL,2024-06-10 01:07
30,CZ01,PARTY,7,Renew,PROVISIONAL,2024-06-09 23:25
31,CZ02,PARTY,1,GREENSEFA,PROVISIONAL,2024-06-09 23:25
32,CZ03,PARTY,2,EPP,PROVISIONAL,2024-06-09 23:25
33,CZ04,PARTY,1,Theleft,PROVISIONAL,2024-06-09 23:25
34,CZ04,PARTY,1,Others,PROVISIONAL,2024-06-09 23:25
35,CZ07,PARTY,3,EPP,PROVISIONAL,2024-06-09 23:25
36,CZ07,PARTY,3,ECR,PROVISIONAL,2024-06-09 23:25
37,CZ09,PARTY,2,Others,PROVISIONAL,2024-06-09 23:25
38,CZ10,PARTY,1,ID,PROVISIONAL,2024-06-09 23:25
39,DE01,PARTY,29,EPP,PROVISIONAL,2024-06-10 02:37
40,DE02,PARTY,14,SD,PROVISIONAL,2024-06-10 02:37
41,DE03,PARTY,12,GREENSEFA,PROVISIONAL,2024-06-10 02:37
42,DE04,PARTY,15,NI,PROVISIONAL,2024-06-10 02:37
43,DE05,PARTY,3,Theleft,PROVISIONAL,2024-06-10 02:37
44,DE06,PARTY,5,Renew,PROVISIONAL,2024-06-10 02:37
45,DE07,PARTY,3,Renew,PROVISIONAL,2024-06-10 02:37
46,DE08,PARTY,1,Theleft,PROVISIONAL,2024-06-10 02:37
47,DE09,PARTY,6,Others,PROVISIONAL,2024-06-10 02:37
48,DE11,PARTY,1,EPP,PROVISIONAL,2024-06-10 02:37
49,DE12,PARTY,1,GREENSEFA,PROVISIONAL,2024-06-10 02:37
50,DE13,PARTY,2,NI,PROVISIONAL,2024-06-10 02:37
51,DE14,PARTY,3,GREENSEFA,PROVISIONAL,2024-06-10 02:37
52,DE16,PARTY,1,Others,PROVISIONAL,2024-06-10 02:37
53,DK01,PARTY,2,Renew,PROVISIONAL,2024-06-09 23:25
54,DK02,PARTY,3,SD,PROVISIONAL,2024-06-09 23:25
55,DK03,PARTY,3,GREENSEFA,PROVISIONAL,2024-06-09 23:25
