PARTY_ID,TYPE,VOTES_PERCENT,UPDATE_STATUS,UPDATE_TIME
AT01,PARTY,24.5,PROVISIONAL,2024-06-11 15:52
AT02,PARTY,23.2,PROVISIONAL,2024-06-11 15:52
AT03,PARTY,25.4,PROVISIONAL,2024-06-11 15:52
AT04,PARTY,11.1,PROVISIONAL,2024-06-11 15:52
AT05,PARTY,10.1,PROVISIONAL,2024-06-11 15:52
AT06,PARTY,3.0,PROVISIONAL,2024-06-11 15:52
AT90,PARTY,2.7,PROVISIONAL,2024-06-11 15:52
BE01,PARTY,13.97,FINAL,2024-06-10 15:02
BE02,PARTY,14.5,FINAL,2024-06-10 15:02
BE03,PARTY,5.76,FINAL,2024-06-10 15:02
BE04,PARTY,8.34,FINAL,2024-06-10 15:02
BE05,PARTY,6.32,FINAL,2024-06-10 15:02
BE06,PARTY,7.99,FINAL,2024-06-10 15:02
BE07,PARTY,5.13,FINAL,2024-06-10 15:02
BE08,PARTY,7.43,FINAL,2024-06-10 15:02
BE09,PARTY,3.64,FINAL,2024-06-10 15:02
BE10,PARTY,12.62,FINAL,2024-06-10 15:02
BE11,PARTY,5.17,FINAL,2024-06-10 15:02
BE12,PARTY,1.05,FINAL,2024-06-10 15:02
BE13,PARTY,5.57,FINAL,2024-06-10 15:02
BE14,PARTY,0.21,FINAL,2024-06-10 15:02
BE15,PARTY,0.07,FINAL,2024-06-10 15:02
BE16,PARTY,0.08,FINAL,2024-06-10 15:02
BE17,PARTY,0.1,FINAL,2024-06-10 15:02
BE18,PARTY,0.07,FINAL,2024-06-10 15:02
BE90,PARTY,1.2,FINAL,2024-06-10 15:02
BE91,PARTY,0.71,FINAL,2024-06-10 15:02
BE92,PARTY,0.07,FINAL,2024-06-10 15:02
BG01,PARTY,23.54,PROVISIONAL,2024-06-11 15:52
BG02,PARTY,7.01,PROVISIONAL,2024-06-11 15:52
BG03,PARTY,14.66,PROVISIONAL,2024-06-11 15:52
BG04,PARTY,14.44,PROVISIONAL,2024-06-11 15:52
BG05,PARTY,13.98,PROVISIONAL,2024-06-11 15:52
BG06,PARTY,6.04,PROVISIONAL,2024-06-11 15:52
BG90,PARTY,20.33,PROVISIONAL,2024-06-11 15:52
CY01,PARTY,24.78,FINAL,2024-06-10 09:01
CY02,PARTY,21.49,FINAL,2024-06-10 09:01
CY03,PARTY,9.72,FINAL,2024-06-10 09:01
CY04,PARTY,5.07,FINAL,2024-06-10 09:01
CY05,PARTY,11.19,FINAL,2024-06-10 09:01
CY10,PARTY,19.36,FINAL,2024-06-10 09:01
CY90,PARTY,8.39,FINAL,2024-06-10 09:01
CZ01,PARTY,26.14,FINAL,2024-06-10 14:19
CZ02,PARTY,6.2,FINAL,2024-06-10 14:19
CZ03,PARTY,8.7,FINAL,2024-06-10 14:19
CZ04,PARTY,9.56,FINAL,2024-06-10 14:19
CZ05,PARTY,1.86,FINAL,2024-06-10 14:19
CZ06,PARTY,1.76,FINAL,2024-06-10 14:19
CZ07,PARTY,22.27,FINAL,2024-06-10 14:19
CZ08,PARTY,1.55,FINAL,2024-06-10 14:19
CZ09,PARTY,10.26,FINAL,2024-06-10 14:19
CZ10,PARTY,5.73,FINAL,2024-06-10 14:19
CZ11,PARTY,2.15,FINAL,2024-06-10 14:19
CZ90,PARTY,3.82,FINAL,2024-06-10 14:19
DE01,PARTY,30.0,FINAL,2024-06-10 09:01
DE02,PARTY,13.9,FINAL,2024-06-10 09:01
DE03,PARTY,11.9,FINAL,2024-06-10 09:01
DE04,PARTY,15.9,FINAL,2024-06-10 09:01
DE05,PARTY,2.7,FINAL,2024-06-10 09:01
DE06,PARTY,5.2,FINAL,2024-06-10 09:01
DE07,PARTY,2.7,FINAL,2024-06-10 09:01
DE08,PARTY,1.4,FINAL,2024-06-10 09:01
DE09,PARTY,6.2,FINAL,2024-06-10 09:01
DE10,PARTY,0.5,FINAL,2024-06-10 09:01
DE11,PARTY,0.6,FINAL,2024-06-10 09:01
DE12,PARTY,0.6,FINAL,2024-06-10 09:01
DE13,PARTY,1.9,FINAL,2024-06-10 09:01
DE14,PARTY,2.6,FINAL,2024-06-10 09:01
DE16,PARTY,0.6,FINAL,2024-06-10 09:01
DE90,PARTY,3.3,FINAL,2024-06-10 09:01
DK01,PARTY,14.72,PROVISIONAL,2024-06-11 15:52
DK02,PARTY,15.57,PROVISIONAL,2024-06-11 15:52
DK03,PARTY,17.42,PROVISIONAL,2024-06-11 15:52
DK04,PARTY,6.37,PROVISIONAL,2024-06-11 15:52
DK05,PARTY,7.08,PROVISIONAL,2024-06-11 15:52
DK06,PARTY,8.84,PROVISIONAL,2024-06-11 15:52
DK07,PARTY,7.04,PROVISIONAL,2024-06-11 15:52
DK08,PARTY,2.66,PROVISIONAL,2024-06-11 15:52
DK09,PARTY,6.95,PROVISIONAL,2024-06-11 15:52
DK10,PARTY,5.95,PROVISIONAL,2024-06-11 15:52
DK11,PARTY,7.39,PROVISIONAL,2024-06-11 15:52
DK90,PARTY,0.0,PROVISIONAL,2024-06-11 15:52
EE01,PARTY,17.9,PROVISIONAL,2024-06-10 00:17
EE02,PARTY,19.3,PROVISIONAL,2024-06-10 00:17
EE03,PARTY,12.4,PROVISIONAL,2024-06-10 00:17
EE04,PARTY,14.9,PROVISIONAL,2024-06-10 00:17
EE05,PARTY,21.5,PROVISIONAL,2024-06-10 00:17
EE06,PARTY,2.6,PROVISIONAL,2024-06-10 00:17
EE07,PARTY,0.6,PROVISIONAL,2024-06-10 00:17
EE08,PARTY,6.8,PROVISIONAL,2024-06-10 00:17
EE09,PARTY,3.1,PROVISIONAL,2024-06-10 00:17
EE90,PARTY,0.9,PROVISIONAL,2024-06-10 00:17
EL01,PARTY,28.31,FINAL,2024-06-10 09:01
EL02,PARTY,14.92,FINAL,2024-06-10 09:01
EL03,PARTY,12.79,FINAL,2024-06-10 09:01
EL04,PARTY,9.25,FINAL,2024-06-10 09:01
EL05,PARTY,9.3,FINAL,2024-06-10 09:01
EL06,PARTY,2.54,FINAL,2024-06-10 09:01
EL07,PARTY,3.4,FINAL,2024-06-10 09:01
EL08,PARTY,4.37,FINAL,2024-06-10 09:01
EL09,PARTY,2.45,FINAL,2024-06-10 09:01
EL10,PARTY,1.45,FINAL,2024-06-10 09:01
EL11,PARTY,3.04,FINAL,2024-06-10 09:01
EL12,PARTY,1.08,FINAL,2024-06-10 09:01
EL90,PARTY,7.1,FINAL,2024-06-10 09:01
ES01,PARTY,30.18,PROVISIONAL,2024-06-11 15:52
ES02,PARTY,34.2,PROVISIONAL,2024-06-11 15:52
ES03,PARTY,4.65,PROVISIONAL,2024-06-11 15:52
ES04,PARTY,3.28,PROVISIONAL,2024-06-11 15:52
ES05,PARTY,9.62,PROVISIONAL,2024-06-11 15:52
ES06,PARTY,2.54,PROVISIONAL,2024-06-11 15:52
