PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
ES01;PARTY;30.19;PROVISIONAL;2024-06-09 23:25
ES02;PARTY;34.18;PROVISIONAL;2024-06-09 23:25
ES03;PARTY;4.65;PROVISIONAL;2024-06-09 23:25
ES04;PARTY;3.27;PROVISIONAL;2024-06-09 23:25
ES05;PARTY;9.62;PROVISIONAL;2024-06-09 23:25
ES06;PARTY;2.55;PROVISIONAL;2024-06-09 23:25
ES07;PARTY;4.93;PROVISIONAL;2024-06-09 23:25
ES08;PARTY;1.61;PROVISIONAL;2024-06-09 23:25
ES09;PARTY;0.69;PROVISIONAL;2024-06-09 23:25
ES10;PARTY;0.18;PROVISIONAL;2024-06-09 23:25
ES11;PARTY;4.58;PROVISIONAL;2024-06-09 23:25
ES90;PARTY;3.55;PROVISIONAL;2024-06-09 23:25
