COUNTRY_ID;MEN;WOMEN;UPDATE_STATUS;UPDATE_TIME
BE;62.0;38.0;CONSTITUTIVE;
BG;71.0;29.0;CONSTITUTIVE;
CZ;67.0;33.0;CONSTITUTIVE;
DK;54.0;46.0;CONSTITUTIVE;
DE;64.0;36.0;CONSTITUTIVE;
EE;67.0;33.0;CONSTITUTIVE;
IE;55.0;45.0;CONSTITUTIVE;
EL;76.0;24.0;CONSTITUTIVE;
ES;53.0;47.0;CONSTITUTIVE;
FR;50.0;50.0;CONSTITUTIVE;
IT;59.0;41.0;CONSTITUTIVE;
CY;100.0;0.0;CONSTITUTIVE;
LV;50.0;50.0;CONSTITUTIVE;
LT;73.0;27.0;CONSTITUTIVE;
LU;50.0;50.0;CONSTITUTIVE;
HU;62.0;38.0;CONSTITUTIVE;
MT;50.0;50.0;CONSTITUTIVE;
NL;50.0;50.0;CONSTITUTIVE;
AT;50.0;50.0;CONSTITUTIVE;
PL;65.0;35.0;CONSTITUTIVE;
PT;57.0;43.0;CONSTITUTIVE;
RO;78.0;22.0;CONSTITUTIVE;
SI;50.0;50.0;CONSTITUTIVE;
SK;85.0;15.0;CONSTITUTIVE;
FI;46.0;54.0;CONSTITUTIVE;
SE;45.0;55.0;CONSTITUTIVE;
UK;53.0;47.0;CONSTITUTIVE;
HR;64.0;36.0;CONSTITUTIVE;
