PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
CZ01;PARTY;26.14;FINAL;2024-06-10 14:19
CZ02;PARTY;6.2;FINAL;2024-06-10 14:19
CZ03;PARTY;8.7;FINAL;2024-06-10 14:19
CZ04;PARTY;9.56;FINAL;2024-06-10 14:19
CZ05;PARTY;1.86;FINAL;2024-06-10 14:19
CZ06;PARTY;1.76;FINAL;2024-06-10 14:19
CZ07;PARTY;22.27;FINAL;2024-06-10 14:19
CZ08;PARTY;1.55;FINAL;2024-06-10 14:19
CZ09;PARTY;10.26;FINAL;2024-06-10 14:19
CZ10;PARTY;5.73;FINAL;2024-06-10 14:19
CZ11;PARTY;2.15;FINAL;2024-06-10 14:19
CZ90;PARTY;3.82;FINAL;2024-06-10 14:19
