PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
DK01;PARTY;14.72;PROVISIONAL;2024-06-11 15:52
DK02;PARTY;15.57;PROVISIONAL;2024-06-11 15:52
DK03;PARTY;17.42;PROVISIONAL;2024-06-11 15:52
DK04;PARTY;6.37;PROVISIONAL;2024-06-11 15:52
DK05;PARTY;7.08;PROVISIONAL;2024-06-11 15:52
DK06;PARTY;8.84;PROVISIONAL;2024-06-11 15:52
DK07;PARTY;7.04;PROVISIONAL;2024-06-11 15:52
DK08;PARTY;2.66;PROVISIONAL;2024-06-11 15:52
DK09;PARTY;6.95;PROVISIONAL;2024-06-11 15:52
DK10;PARTY;5.95;PROVISIONAL;2024-06-11 15:52
DK11;PARTY;7.39;PROVISIONAL;2024-06-11 15:52
DK90;PARTY;0.0;PROVISIONAL;2024-06-11 15:52
