PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
EE01;PARTY;17.9;PROVISIONAL;2024-06-10 00:17
EE02;PARTY;19.3;PROVISIONAL;2024-06-10 00:17
EE03;PARTY;12.4;PROVISIONAL;2024-06-10 00:17
EE04;PARTY;14.9;PROVISIONAL;2024-06-10 00:17
EE05;PARTY;21.5;PROVISIONAL;2024-06-10 00:17
EE06;PARTY;2.6;PROVISIONAL;2024-06-10 00:17
EE07;PARTY;0.6;PROVISIONAL;2024-06-10 00:17
EE08;PARTY;6.8;PROVISIONAL;2024-06-10 00:17
EE09;PARTY;3.1;PROVISIONAL;2024-06-10 00:17
EE90;PARTY;0.9;PROVISIONAL;2024-06-10 00:17
