PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
FR01;PARTY;31.37;FINAL;2024-06-10 11:38
FR02;PARTY;14.6;FINAL;2024-06-10 11:38
FR03;PARTY;5.5;FINAL;2024-06-10 11:38
FR04;PARTY;7.25;FINAL;2024-06-10 11:38
FR05;PARTY;9.89;FINAL;2024-06-10 11:38
FR06;PARTY;13.83;FINAL;2024-06-10 11:38
FR07;PARTY;2.36;FINAL;2024-06-10 11:38
FR08;PARTY;5.47;FINAL;2024-06-10 11:38
FR09;PARTY;2.35;FINAL;2024-06-10 11:38
FR10;PARTY;2.0;FINAL;2024-06-10 11:38
FR11;PARTY;1.02;FINAL;2024-06-10 11:38
FR12;PARTY;0.93;FINAL;2024-06-10 11:38
FR13;PARTY;0.15;FINAL;2024-06-10 11:38
FR90;PARTY;3.28;FINAL;2024-06-10 11:38
