PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
HU01;PARTY;44.79;PROVISIONAL;2024-06-10 16:14
HU02;PARTY;3.67;PROVISIONAL;2024-06-10 16:14
HU03;PARTY;1.0;PROVISIONAL;2024-06-10 16:14
HU04;PARTY;6.74;PROVISIONAL;2024-06-10 16:14
HU05;PARTY;3.57;PROVISIONAL;2024-06-10 16:14
HU06;PARTY;0.87;PROVISIONAL;2024-06-10 16:14
HU07;PARTY;0.64;PROVISIONAL;2024-06-10 16:14
HU08;PARTY;29.6;PROVISIONAL;2024-06-10 16:14
HU09;PARTY;8.08;PROVISIONAL;2024-06-10 16:14
HU10;PARTY;0.68;PROVISIONAL;2024-06-10 16:14
HU11;PARTY;0.36;PROVISIONAL;2024-06-10 16:14
HU90;PARTY;0.0;PROVISIONAL;2024-06-10 16:14
