PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
LT01;PARTY;21.33;FINAL;2024-06-10 11:38
LT02;PARTY;17.98;FINAL;2024-06-10 11:38
LT03;PARTY;9.13;FINAL;2024-06-10 11:38
LT04;PARTY;1.66;FINAL;2024-06-10 11:38
LT05;PARTY;5.41;FINAL;2024-06-10 11:38
LT06;PARTY;5.78;FINAL;2024-06-10 11:38
LT07;PARTY;8.09;FINAL;2024-06-10 11:38
LT08;PARTY;5.25;FINAL;2024-06-10 11:38
LT09;PARTY;5.95;FINAL;2024-06-10 11:38
LT10;PARTY;3.79;FINAL;2024-06-10 11:38
LT11;PARTY;1.25;FINAL;2024-06-10 11:38
LT12;PARTY;5.45;FINAL;2024-06-10 11:38
LT13;PARTY;4.05;FINAL;2024-06-10 11:38
LT90;PARTY;4.88;FINAL;2024-06-10 11:38
