PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
LU01;PARTY;18.29;FINAL;2024-06-10 14:19
LU02;PARTY;22.91;FINAL;2024-06-10 14:19
LU03;PARTY;11.76;FINAL;2024-06-10 14:19
LU04;PARTY;21.72;FINAL;2024-06-10 14:19
LU05;PARTY;11.76;FINAL;2024-06-10 14:19
LU06;PARTY;4.92;FINAL;2024-06-10 14:19
LU07;PARTY;3.15;FINAL;2024-06-10 14:19
LU08;PARTY;0.97;FINAL;2024-06-10 14:19
LU09;PARTY;1.04;FINAL;2024-06-10 14:19
LU10;PARTY;1.6;FINAL;2024-06-10 14:19
LU11;PARTY;0.58;FINAL;2024-06-10 14:19
LU90;PARTY;1.3;FINAL;2024-06-10 14:19
