PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
LV01;PARTY;25.09;PROVISIONAL;2024-06-11 15:52
LV02;PARTY;7.13;PROVISIONAL;2024-06-11 15:52
LV03;PARTY;22.07;PROVISIONAL;2024-06-11 15:52
LV04;PARTY;0.32;PROVISIONAL;2024-06-11 15:52
LV05;PARTY;9.36;PROVISIONAL;2024-06-11 15:52
LV06;PARTY;2.28;PROVISIONAL;2024-06-11 15:52
LV07;PARTY;8.18;PROVISIONAL;2024-06-11 15:52
LV08;PARTY;1.5;PROVISIONAL;2024-06-11 15:52
LV09;PARTY;7.45;PROVISIONAL;2024-06-11 15:52
LV10;PARTY;6.16;PROVISIONAL;2024-06-11 15:52
LV11;PARTY;1.98;PROVISIONAL;2024-06-11 15:52
LV12;PARTY;2.62;PROVISIONAL;2024-06-11 15:52
LV13;PARTY;2.13;PROVISIONAL;2024-06-11 15:52
LV14;PARTY;1.71;PROVISIONAL;2024-06-11 15:52
LV90;PARTY;2.02;PROVISIONAL;2024-06-11 15:52
