PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
NL01;PARTY;21.6;PROVISIONAL;2024-06-11 15:52
NL02;PARTY;11.6;PROVISIONAL;2024-06-11 15:52
NL03;PARTY;9.7;PROVISIONAL;2024-06-11 15:52
NL04;PARTY;2.5;PROVISIONAL;2024-06-11 15:52
NL05;PARTY;8.1;PROVISIONAL;2024-06-11 15:52
NL06;PARTY;2.7;PROVISIONAL;2024-06-11 15:52
NL07;PARTY;3.4;PROVISIONAL;2024-06-11 15:52
NL08;PARTY;4.4;PROVISIONAL;2024-06-11 15:52
NL09;PARTY;17.7;PROVISIONAL;2024-06-11 15:52
NL10;PARTY;2.0;PROVISIONAL;2024-06-11 15:52
NL11;PARTY;4.9;PROVISIONAL;2024-06-11 15:52
NL12;PARTY;0.7;PROVISIONAL;2024-06-11 15:52
NL13;PARTY;3.8;PROVISIONAL;2024-06-11 15:52
NL14;PARTY;5.3;PROVISIONAL;2024-06-11 15:52
NL90;PARTY;1.6;PROVISIONAL;2024-06-11 15:52
