PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
SI01;PARTY;30.64;PROVISIONAL;2024-06-11 15:52
SI02;PARTY;7.22;PROVISIONAL;2024-06-11 15:52
SI03;PARTY;7.74;PROVISIONAL;2024-06-11 15:52
SI04;PARTY;7.66;PROVISIONAL;2024-06-11 15:52
SI05;PARTY;4.75;PROVISIONAL;2024-06-11 15:52
SI06;PARTY;22.16;PROVISIONAL;2024-06-11 15:52
SI07;PARTY;10.52;PROVISIONAL;2024-06-11 15:52
SI08;PARTY;3.97;PROVISIONAL;2024-06-11 15:52
SI09;PARTY;2.22;PROVISIONAL;2024-06-11 15:52
SI10;PARTY;1.59;PROVISIONAL;2024-06-11 15:52
SI90;PARTY;1.53;PROVISIONAL;2024-06-11 15:52
