PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
SK01;PARTY;24.76;FINAL;2024-06-10 09:01
SK02;PARTY;0.48;FINAL;2024-06-10 09:01
SK03;PARTY;4.92;FINAL;2024-06-10 09:01
SK04;PARTY;27.81;FINAL;2024-06-10 09:01
SK05;PARTY;1.9;FINAL;2024-06-10 09:01
SK06;PARTY;7.14;FINAL;2024-06-10 09:01
SK07;PARTY;3.88;FINAL;2024-06-10 09:01
SK08;PARTY;7.18;FINAL;2024-06-10 09:01
SK09;PARTY;12.53;FINAL;2024-06-10 09:01
SK10;PARTY;4.68;FINAL;2024-06-10 09:01
SK11;PARTY;1.98;FINAL;2024-06-10 09:01
SK12;PARTY;0.93;FINAL;2024-06-10 09:01
SK90;PARTY;1.81;FINAL;2024-06-10 09:01
